,order_hash,chain,type,price,protocol_address,chain,order_hash,currency,price_string,price_in_eth,primary_recipient,identifier_or_criteria,start_time,end_time
22,0x5ae42a5ba62f40ab55a00731f4a39ce81ed6244b0c3bde2783dd67f74b9284f5,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '999000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x5ae42a5ba62f40ab55a00731f4a39ce81ed6244b0c3bde2783dd67f74b9284f5,ETH,999000000000000000000,999.0,0xdd6A7B5f9acc029223210424729F9ffE3331b824,68684017358887726661933770164325703157856261544053562057577673158954208631007,1706163898,1721885093
23,0x71ff9392b1309ae15e5343a8499e5dd052a46219dc5e8f1c800c8ce6c6820e84,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '999000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x71ff9392b1309ae15e5343a8499e5dd052a46219dc5e8f1c800c8ce6c6820e84,ETH,999000000000000000000,999.0,0x319CeFEB796f6Ea9C99c04f22617B8168F1F7fD6,68471069126442924637545086825392967826257876985826465377481737058947383520460,1706164756,1721889551
24,0xe2023685332873468501adeb2a0827fc905c0c1eefed67743fcc73d5de160942,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '998997000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xe2023685332873468501adeb2a0827fc905c0c1eefed67743fcc73d5de160942,ETH,998997000000000000000,998.997,0x319CeFEB796f6Ea9C99c04f22617B8168F1F7fD6,54498980577055816418433303783860707569643683336452884429478272616572091636520,1706164857,1721889652
25,0x1f58ea4f7447fd58834715beb7862290a038d6aec4f24e99762c707a5dcd1e0d,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '998996000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x1f58ea4f7447fd58834715beb7862290a038d6aec4f24e99762c707a5dcd1e0d,ETH,998996000000000000000,998.996,0x319CeFEB796f6Ea9C99c04f22617B8168F1F7fD6,17280637350681033936316710896162874390638697751310537933766493067069259853631,1706164884,1721889679
26,0x6a5b5558568d872d343deb6c97d95885d774befa320581eb5eb78d5d1c59fdf9,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '10000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x6a5b5558568d872d343deb6c97d95885d774befa320581eb5eb78d5d1c59fdf9,ETH,10000000000000000000,10.0,0xf1d087A1EBAFD1c6aB02BE81A57A4DbF880E8c81,44483711879387387732390313445998888818994835081212679588645501221884454961405,1706180770,1721901966
27,0xbc6d359c31d8a05d34f9824744041a522844241710a9733ec51e9b7b70827319,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '300000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xbc6d359c31d8a05d34f9824744041a522844241710a9733ec51e9b7b70827319,ETH,300000000000000000,0.3,0x80Aa01a676A932E1BfD34085f4f768a6AD20f549,83975490053606088623216268411245539793972027055812052033530422352298099046177,1706214743,1721935842
28,0xee922dc749eafc0a963489a0eb138f98b7d1a844c2718865e66e20c72345491e,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '300000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xee922dc749eafc0a963489a0eb138f98b7d1a844c2718865e66e20c72345491e,ETH,300000000000000000000,300.0,0x610Ba990c27c88D0bA6CafC4F6A321785BDCe97a,72836879405353160510232641106081293743754775791523774774856475264997171477928,1706240185,1721964975
29,0x25638b1d8ca06eb0f7ed96a2838c4d795db47bdbaf22dff7ecac7c6ae976d581,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '8000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x25638b1d8ca06eb0f7ed96a2838c4d795db47bdbaf22dff7ecac7c6ae976d581,ETH,8000000000000000000,8.0,0x03aC307f7323D8A571890f198ec4C266Cba955F8,105374963016843776116095712083208301717656912261677328163996572666294145073963,1706276346,1721997542
30,0xefcb277a4c7c740b0899d0d559847f15cc1657d3599b5b075aa70be3ddf56af1,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '101000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xefcb277a4c7c740b0899d0d559847f15cc1657d3599b5b075aa70be3ddf56af1,ETH,101000000000000000000,101.0,0x03aC307f7323D8A571890f198ec4C266Cba955F8,92211208897725327995292161621999283854592062891219760295450252034772823589604,1706276413,1721997609
31,0xcf90696d8ec619fdf98c18372377270d524a2a7ceff22e780afe0fe8ed127ed3,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '2000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xcf90696d8ec619fdf98c18372377270d524a2a7ceff22e780afe0fe8ed127ed3,ETH,2000000000000000000,2.0,0x03aC307f7323D8A571890f198ec4C266Cba955F8,105374963016843776116095712083208301717656912261677328163996572666294145073963,1706276433,1721997542
32,0x2b4834c19730af7522a69b0e59458863bdca64ea5a87d8503f7046fc93b04577,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '3000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x2b4834c19730af7522a69b0e59458863bdca64ea5a87d8503f7046fc93b04577,ETH,3000000000000000000,3.0,0x03aC307f7323D8A571890f198ec4C266Cba955F8,46336793083883733020403559731658090942700876020823661040475991365942936300823,1706276456,1721997653
33,0x8ddfa8fbc60afb5e41e0e2469083bfc43c3c43e1bf9ebe44e0a0b0ade2397a31,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '25000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x8ddfa8fbc60afb5e41e0e2469083bfc43c3c43e1bf9ebe44e0a0b0ade2397a31,ETH,25000000000000000000,25.0,0x03aC307f7323D8A571890f198ec4C266Cba955F8,20010809564507917546914844844511620752218997012974723755124579244605335209952,1706276477,1721997674
34,0x92accdb218cda1c445dea272e3ca57860831262170a3d8b733aa6f505d017e10,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '333000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x92accdb218cda1c445dea272e3ca57860831262170a3d8b733aa6f505d017e10,ETH,333000000000000000000,333.0,0x7B43A1e4f069bc5f72badc19730c02000978aF42,82169280665067270633286601561205137703733074503531468707736891849655018063872,1706322011,1722046785
35,0x5e0c5370b5f03dac20f3589bbb90feb93764d390edd86ea5bf531382565f3384,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '333000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x5e0c5370b5f03dac20f3589bbb90feb93764d390edd86ea5bf531382565f3384,ETH,333000000000000000000,333.0,0x7B43A1e4f069bc5f72badc19730c02000978aF42,16718288043724194952484525479745139025953567141657432806377437343132915600164,1706322097,1722046893
36,0x95631d6505235c8c47ea899c73a919e77420613f42d2f85495b24e2c164701fd,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '700000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x95631d6505235c8c47ea899c73a919e77420613f42d2f85495b24e2c164701fd,ETH,700000000000000000000,700.0,0x7B43A1e4f069bc5f72badc19730c02000978aF42,47663185115495219126863159674947618545599633113702075893308695590295501897304,1706322326,1722047122
37,0xbf34795de765128a4bb8779450a3f08e7b421d170273583a328d27347da2a586,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '300000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xbf34795de765128a4bb8779450a3f08e7b421d170273583a328d27347da2a586,ETH,300000000000000000000,300.0,0x7B43A1e4f069bc5f72badc19730c02000978aF42,74946005529189578862836901817556422557851899440808375314568579478997796501921,1706340841,1722065631
38,0x36c3e1446576cc06b1f904e0ed528c876cbc03b5c149e3306d172ff0307362ed,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '50000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x36c3e1446576cc06b1f904e0ed528c876cbc03b5c149e3306d172ff0307362ed,ETH,50000000000000000000,50.0,0x165CF39E0bc8c1E0b00De82222f295B25B9d8156,21840690084248312258386866676960653886166682191953454044368045421853125928740,1706443550,1722168342
39,0x4cd6c2c0363797147e518617949280c96c27aefef160afd0a3c9e8b2889ff0e5,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '1000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x4cd6c2c0363797147e518617949280c96c27aefef160afd0a3c9e8b2889ff0e5,ETH,1000000000000000000,1.0,0x240ad467a71210629D71D4dE22ebde27951c83Fc,58656366442119735799626944357819534621421072022916404684867806985295372827756,1706722219,1722443414
40,0xf53d736ec85301f0cfbe1dcec9c6b27024bcb12838692c8ecf39967eb8da9a85,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '200000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xf53d736ec85301f0cfbe1dcec9c6b27024bcb12838692c8ecf39967eb8da9a85,ETH,200000000000000000,0.2,0x240ad467a71210629D71D4dE22ebde27951c83Fc,44122944980947429950337091583106598778557205107367535926225611468886350030926,1706722311,1722443506
41,0xfc3dbde3851d4b181411d04ce4d0f13a9fe9902e1783d3690817f149bb2a63ec,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '200000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xfc3dbde3851d4b181411d04ce4d0f13a9fe9902e1783d3690817f149bb2a63ec,ETH,200000000000000000,0.2,0x240ad467a71210629D71D4dE22ebde27951c83Fc,84293265773770605267117376503233055597893981634470132191997983552886534715628,1706765252,1722486446
42,0x5647369553b76922dfbbf21c10a70704bac87d2b4e6f863bbaab926ea3dd98d3,optimism,english,"{'current': {'currency': 'WETH', 'decimals': 18, 'value': '100000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x5647369553b76922dfbbf21c10a70704bac87d2b4e6f863bbaab926ea3dd98d3,WETH,100000000000000000,0.1,0x165CF39E0bc8c1E0b00De82222f295B25B9d8156,44111920000165756086739054407382647671195685736004445666320068916386503909486,1706858017,1723187613
43,0xe8adb8ee0e4e9a30111bc835f30ad59d9ab2501f5b9ad1a162bba1f987943f28,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '150000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xe8adb8ee0e4e9a30111bc835f30ad59d9ab2501f5b9ad1a162bba1f987943f28,ETH,150000000000000000,0.15,0x240ad467a71210629D71D4dE22ebde27951c83Fc,84293265773770605267117376503233055597893981634470132191997983552886534715628,1707081186,1722486446
44,0x1d392491841ef752a7d1718f75d1a8c76f7b5b092bb5efeb16abe6726cae4e8a,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '15000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x1d392491841ef752a7d1718f75d1a8c76f7b5b092bb5efeb16abe6726cae4e8a,ETH,15000000000000000,0.015,0xe98F4A074b13d168284153E8e7ff411CfE4B732F,69009490624141279468670734372278458013622815397619141777022512076720535815620,1707094844,1722816035
45,0x49db03a17eccd0d5fad7bd7267b912a6726ee22ef4500fb302ffa3a7f25fae3d,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '4200000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x49db03a17eccd0d5fad7bd7267b912a6726ee22ef4500fb302ffa3a7f25fae3d,ETH,4200000000000000000,4.2,0x240ad467a71210629D71D4dE22ebde27951c83Fc,78474844065447732241262990594970227964287760889652545949075371172262957886003,1707195390,1722916586
46,0x2a218bc772857b4d6154047619b189cebb926770a2f9a26b5d16557aa2fe931c,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '1000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x2a218bc772857b4d6154047619b189cebb926770a2f9a26b5d16557aa2fe931c,ETH,1000000000000000000,1.0,0x240ad467a71210629D71D4dE22ebde27951c83Fc,84499371955550836968162966101934148743560966094957214324285110654962646848737,1707196523,1722917719
47,0x95c7c65ba3dff20d95e6ff3fe2b0e268f6746ff9fc50fdcd3ea618ef92daa289,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '3000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x95c7c65ba3dff20d95e6ff3fe2b0e268f6746ff9fc50fdcd3ea618ef92daa289,ETH,3000000000000000000,3.0,0x240ad467a71210629D71D4dE22ebde27951c83Fc,93554093686091758925804699758799270515691866365646187294347749950846862010538,1707223959,1722945155
48,0xef64fd838a36029ef02528c361bbaab19fe3031a075ee599e390b88cb2de8126,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '200000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xef64fd838a36029ef02528c361bbaab19fe3031a075ee599e390b88cb2de8126,ETH,200000000000000000,0.2,0x240ad467a71210629D71D4dE22ebde27951c83Fc,93554093686091758925804699758799270515691866365646187294347749950846862010538,1707224695,1722945155
49,0x2fffe41cd64ff8c3dd3c3961a27c1d91b26a0594544b0ead30b97c900546df1b,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '150000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0x2fffe41cd64ff8c3dd3c3961a27c1d91b26a0594544b0ead30b97c900546df1b,ETH,150000000000000000,0.15,0x240ad467a71210629D71D4dE22ebde27951c83Fc,93554093686091758925804699758799270515691866365646187294347749950846862010538,1707233563,1722945155
50,0xd97dae877fc458f7aa26725e3e6301ecb0d4fe0c7e1f997380ede7499eab117a,optimism,basic,"{'current': {'currency': 'ETH', 'decimals': 18, 'value': '1000000000000000000'}}",0x00000000000000adc04c56bf30ac9d3c0aaf14dc,optimism,0xd97dae877fc458f7aa26725e3e6301ecb0d4fe0c7e1f997380ede7499eab117a,ETH,1000000000000000000,1.0,0x240ad467a71210629D71D4dE22ebde27951c83Fc,85435348642282189970714167729540733487641942009261828813373913751922153718697,1707247740,1722968937
